Port_IDs,PnL,Total_Positions,Win_Positions,Win_Rate,ROI,Sharpe_Ratio,MDD,Rank_ROI,Rank_Sharpe,Rank_PnL,Rank_Win_Rate,Rank_MDD,Total_Rank,ROI_z,PnL_z,Sharpe_Ratio_z,Win_Rate_z,MDD_inv,MDD_inv_z,Weighted_Score
3891020560590657281,2856.30056379,437.0,283.0,0.6475972540045767,3.908881805524462,0.43247702595319554,0.0,27.0,9.0,70.0,6.0,1.0,113.0,0.4890765121486473,-0.22597532657269379,1.834315233945456,1.836126384083628,-0.0,0.4178979693696341,0.2628849793861679
3986814617275053313,16337.46188064,3554.0,2780.0,0.7822172200337648,1.6859968242654695,0.3297865686167943,2.38194747,49.0,20.0,8.0,2.0,41.0,120.0,-0.15016879465280056,1.5141437155966722,1.066900117291179,2.728269247568103,-2.38194747,0.4170122564724244,0.8633063426651211
4029749871687083265,3662.13654822,856.0,367.0,0.4287383177570093,6.548711229442733,0.3538772369515271,0.0,14.0,16.0,51.0,55.0,1.0,137.0,1.248224459173942,-0.1219597667544697,1.2469318702885932,0.38572163475590715,-0.0,0.4178979693696341,0.3530715851827475
4035430878731345664,2493.7504199500004,89.0,43.0,0.48314606741573035,3.8941793125480024,0.4696392626687302,0.0,28.0,7.0,86.0,33.0,1.0,155.0,0.48484844829796625,-0.27277251223122406,2.1120320049474746,0.7462883991670167,-0.0,0.4178979693696341,0.23575278061971627
3956048468100538880,1373.56489,28.0,20.0,0.7142857142857143,2.6916275847969366,0.5248618803115559,0.0,34.0,3.0,123.0,4.0,1.0,165.0,0.1390250905300568,-0.41736362909533414,2.524715643325832,2.278078909191865,-0.0,0.4178979693696341,0.1791628104432393
3944658614777849089,2074.4499799600003,45.0,20.0,0.4444444444444444,7.142433618139712,0.4074903672652918,0.0,7.0,12.0,102.0,46.0,1.0,168.0,1.4189639502935092,-0.3268949029413353,1.647587663641987,0.48980804370760894,-0.0,0.4178979693696341,0.3149866687167181
3936410995029308417,10681.514,20.0,6.0,0.3,5.955681070532478,0.2989837004791926,0.0,19.0,26.0,13.0,109.0,1.0,168.0,1.0776840357731827,0.7840862392932276,0.8367074853929022,-0.46744283134572795,-0.0,0.4178979693696341,0.6621636924277067
4017110277719148289,2899.93302141,252.0,143.0,0.5674603174603174,0.9469238906518587,0.39402569727778675,0.0,82.0,13.0,69.0,9.0,1.0,174.0,-0.3627074136905225,-0.22034334364654104,1.5469649616189263,1.3050491735607257,-0.0,0.4178979693696341,0.12266946756234942
3886752488982104320,7195.178324639999,1249.0,931.0,0.745396317053643,1.8038224652046706,0.22171358766665433,38.20810000000074,46.0,54.0,21.0,3.0,50.0,174.0,-0.11628513057379022,0.33407759734442993,0.2592609126926809,2.48425265188981,-38.20810000000074,0.4036905162775322,0.33664977684368547
4017323550554338817,3134.7351025,545.0,273.0,0.5009174311926605,3.9559504475150082,0.21320832767437792,0.0,26.0,60.0,63.0,25.0,1.0,175.0,0.5026122590467765,-0.1900356006529891,0.19570033210469212,0.8640613851187231,-0.0,0.4178979693696341,0.17927595993390752
3977234346014419201,2427.2928308600003,83.0,33.0,0.39759036144578314,8.55593117720845,0.3047358693024751,0.0,3.0,22.0,87.0,66.0,1.0,179.0,1.8254499756290306,-0.28135071358600156,0.8796939655686963,0.17930034559021532,-0.0,0.4178979693696341,0.3457391389177681
4029422834086627072,2799.9025498399997,102.0,38.0,0.37254901960784315,2.6297926962369504,0.5116182899882395,0.0,35.0,5.0,73.0,79.0,1.0,193.0,0.12124294586588523,-0.23325505980252062,2.4257450897173753,0.01334833214259983,-0.0,0.4178979693696341,0.20281227619508957
3826087012661391104,532.65697373,108.0,63.0,0.5833333333333334,17.565918152037344,0.6751014185094156,12.925980129999992,2.0,1.0,137.0,8.0,46.0,194.0,4.416493568329648,-0.5259061977524904,3.6474693608840227,1.410241577412741,-12.925980129999992,0.41309152109383884,0.7640031299681376
4039129759104249600,1264.2891997200002,133.0,59.0,0.44360902255639095,6.531516721597985,0.522042606077144,0.0,15.0,4.0,128.0,47.0,1.0,195.0,1.2432797550911014,-0.4314686980158254,2.503646950853327,0.4842716013996082,-0.0,0.4178979693696341,0.29032245934356904
4039279455324236544,1038.80741926,327.0,181.0,0.5535168195718655,1.588587736302084,0.4716836338542197,0.0,55.0,6.0,130.0,11.0,1.0,203.0,-0.1781811762404148,-0.460573396833596,2.127309776538827,1.212643919718245,-0.0,0.4178979693696341,0.07717434294418954
4019895412775450368,2640.30025492,571.0,242.0,0.4238178633975482,2.135845168409836,0.28470089498824014,0.0,40.0,29.0,76.0,60.0,1.0,206.0,-0.020803827418274804,-0.2538561776169847,0.7299707824285433,0.35311318616260895,-0.0,0.4178979693696341,0.09730413767799412
4041860229502600193,2327.33599982,97.0,38.0,0.3917525773195876,2.714421678820921,0.45719346633802277,0.0,32.0,8.0,97.0,68.0,1.0,206.0,0.1455800934881362,-0.29425292438220413,2.0190234383218826,0.14061264122978595,-0.0,0.4178979693696341,0.16361436160097248
3943533600390906881,2361.42457205,1759.0,964.0,0.5480386583285958,2.11059175987271,0.4280792022224648,32.30352141,41.0,10.0,93.0,14.0,49.0,207.0,-0.028066066816263977,-0.28985284546736706,1.8014498976826354,1.1763394798765305,-32.30352141,0.4058860984537216,0.14613108226150306
3768170840939476993,243.66889897,14.0,6.0,0.42857142857142855,31.78550515767253,0.4242774564031249,0.0,1.0,11.0,140.0,56.0,1.0,209.0,8.505685917300797,-0.5632081511992757,1.7730391058027122,0.38461563985559394,-0.0,0.4178979693696341,1.203907933216509
